epoch,accuracy,auc,learning_rate,loss,precision,recall,val_accuracy,val_auc,val_loss,val_precision,val_recall
0,0.5984848737716675,0.8345627784729004,0.0010000000474974513,0.9954020380973816,0.673184335231781,0.45643940567970276,0.28787878155708313,0.60386061668396,2.6632649898529053,0.3185840845108032,0.27272728085517883
1,0.6950757503509521,0.925359845161438,0.0010000000474974513,0.6367101669311523,0.7418630719184875,0.6259469985961914,0.3787878751754761,0.5990492105484009,5.024158000946045,0.3787878751754761,0.3787878751754761
2,0.7215909361839294,0.9420722723007202,0.0010000000474974513,0.5402317047119141,0.7603305578231812,0.6969696879386902,0.32575756311416626,0.578990638256073,11.107254028320312,0.32575756311416626,0.32575756311416626
3,0.7613636255264282,0.9511223435401917,0.0010000000474974513,0.4972914457321167,0.7834525108337402,0.7263257503509521,0.3712121248245239,0.5894361138343811,9.977874755859375,0.3712121248245239,0.3712121248245239
4,0.7575757503509521,0.9475854635238647,0.0010000000474974513,0.5331836938858032,0.7808080911636353,0.7320075631141663,0.280303031206131,0.5801767706871033,15.437921524047852,0.280303031206131,0.280303031206131
5,0.8323863744735718,0.9685947895050049,0.0010000000474974513,0.41667497158050537,0.8499006032943726,0.8096590638160706,0.25757575035095215,0.5221150517463684,10.738980293273926,0.25757575035095215,0.25757575035095215
6,0.8683711886405945,0.9776192307472229,0.0010000000474974513,0.3494597375392914,0.8780487775802612,0.8522727489471436,0.31060606241226196,0.5888237357139587,6.431883335113525,0.31060606241226196,0.31060606241226196
7,0.9015151262283325,0.9822284579277039,0.0010000000474974513,0.29750022292137146,0.914146363735199,0.8873106241226196,0.3636363744735718,0.598456084728241,9.272059440612793,0.35877862572669983,0.35606059432029724
8,0.9299242496490479,0.9917539954185486,0.0005000000237487257,0.1960284262895584,0.9368420839309692,0.9270833134651184,0.280303031206131,0.5726011395454407,10.102189064025879,0.280303031206131,0.280303031206131
9,0.9327651262283325,0.99256432056427,0.0005000000237487257,0.19064569473266602,0.9358237385749817,0.9251893758773804,0.27272728085517883,0.536539614200592,11.671717643737793,0.27272728085517883,0.27272728085517883
10,0.9592803120613098,0.9969584941864014,0.0005000000237487257,0.1206178143620491,0.9618320465087891,0.9545454382896423,0.27272728085517883,0.5342726707458496,9.527937889099121,0.27272728085517883,0.27272728085517883
11,0.9337121248245239,0.9904188513755798,0.0005000000237487257,0.20763467252254486,0.9403846263885498,0.9261363744735718,0.5378788113594055,0.7257422804832458,3.3024752140045166,0.5419847369194031,0.5378788113594055
12,0.9545454382896423,0.9955822229385376,0.0005000000237487257,0.1441849172115326,0.95885169506073,0.9488636255264282,0.42424243688583374,0.6857686042785645,3.86458683013916,0.4307692348957062,0.42424243688583374
13,0.935606062412262,0.9909314513206482,0.0005000000237487257,0.20201636850833893,0.9388145208358765,0.9299242496490479,0.6363636255264282,0.83990478515625,1.6222593784332275,0.6307692527770996,0.6212121248245239
14,0.9564393758773804,0.9969934225082397,0.0005000000237487257,0.12504495680332184,0.9588910341262817,0.9498106241226196,0.8712121248245239,0.9639865159988403,0.4933963418006897,0.8759689927101135,0.8560606241226196
15,0.9573863744735718,0.9939209818840027,0.0005000000237487257,0.14934854209423065,0.9626794457435608,0.9526515007019043,0.8560606241226196,0.961929976940155,0.5695160627365112,0.8682170510292053,0.8484848737716675
16,0.9545454382896423,0.9978103041648865,0.0005000000237487257,0.11161334067583084,0.9599236845970154,0.9526515007019043,0.9696969985961914,0.9883876442909241,0.18447664380073547,0.96875,0.939393937587738
17,0.9526515007019043,0.9937206506729126,0.0005000000237487257,0.1501917839050293,0.9589694738388062,0.9517045617103577,0.9469696879386902,0.9925581216812134,0.17434585094451904,0.9469696879386902,0.9469696879386902
18,0.9554924368858337,0.9963995814323425,0.0005000000237487257,0.1282530426979065,0.9579349756240845,0.9488636255264282,0.8712121248245239,0.9697161316871643,0.5012528896331787,0.8837209343910217,0.8636363744735718
19,0.9554924368858337,0.9953919649124146,0.0005000000237487257,0.12566418945789337,0.9562737345695496,0.9526515007019043,0.9848484992980957,0.9992729425430298,0.05488796904683113,0.9848484992980957,0.9848484992980957
20,0.9630681872367859,0.9966700077056885,0.0005000000237487257,0.10996357351541519,0.9647282958030701,0.9583333134651184,0.9696969985961914,0.9987372756004333,0.10913704335689545,0.9696969985961914,0.9696969985961914
21,0.966856062412262,0.9974170327186584,0.0005000000237487257,0.09131963551044464,0.9696106314659119,0.966856062412262,0.9924242496490479,0.999808669090271,0.03445419296622276,0.9924242496490479,0.9924242496490479
22,0.9611742496490479,0.9958321452140808,0.0005000000237487257,0.1171410009264946,0.9656488299369812,0.9583333134651184,0.9621211886405945,0.9876893758773804,0.15888097882270813,0.9621211886405945,0.9621211886405945
23,0.9602272510528564,0.996050238609314,0.0005000000237487257,0.12838444113731384,0.962892472743988,0.9583333134651184,0.8787878751754761,0.9837102890014648,0.3311261534690857,0.8846153616905212,0.8712121248245239
24,0.96875,0.9988471269607544,0.0005000000237487257,0.07724152505397797,0.9714285731315613,0.9659090638160706,0.9772727489471436,0.9991678595542908,0.06342916935682297,0.9772727489471436,0.9772727489471436
25,0.9678030014038086,0.9986027479171753,0.0005000000237487257,0.08512180298566818,0.9686906933784485,0.966856062412262,0.9848484992980957,0.9999235272407532,0.03506400063633919,0.9848484992980957,0.9848484992980957
26,0.966856062412262,0.9979581832885742,0.0005000000237487257,0.08782252669334412,0.9686013460159302,0.9640151262283325,0.9696969985961914,0.9995791912078857,0.05015542730689049,0.9846153855323792,0.9696969985961914
27,0.9583333134651184,0.9964396953582764,0.0005000000237487257,0.12031716853380203,0.9600380659103394,0.9554924368858337,0.939393937587738,0.9866372346878052,0.19441944360733032,0.939393937587738,0.939393937587738
28,0.96875,0.9983795285224915,0.0005000000237487257,0.09160947799682617,0.9714013338088989,0.9649621248245239,0.9924242496490479,0.999904453754425,0.026125282049179077,0.9924242496490479,0.9924242496490479
29,0.9592803120613098,0.9963424205780029,0.0005000000237487257,0.11459187418222427,0.9618320465087891,0.9545454382896423,0.8939393758773804,0.9881484508514404,0.30201128125190735,0.8939393758773804,0.8939393758773804
